name                             component                               version
749126e841650447664e23152ec5c497 analysis-icu                            3.3.0
749126e841650447664e23152ec5c497 analysis-ik                             3.3.0
749126e841650447664e23152ec5c497 analysis-kuromoji                       3.3.0
749126e841650447664e23152ec5c497 analysis-phonetic                       3.3.0
749126e841650447664e23152ec5c497 analysis-seunjeon                       3.3.0
749126e841650447664e23152ec5c497 analysis-smartcn                        3.3.0
749126e841650447664e23152ec5c497 analysis-stempel                        3.3.0
749126e841650447664e23152ec5c497 analysis-thaichub2                      3.3.0
749126e841650447664e23152ec5c497 analysis-ukrainian                      3.3.0
749126e841650447664e23152ec5c497 arrow-flight-rpc                        3.3.0
749126e841650447664e23152ec5c497 aws-opensearch-admission-control-plugin 3.3.0
749126e841650447664e23152ec5c497 aws-opensearch-coral-network-plugin     3.3.0
749126e841650447664e23152ec5c497 aws-opensearch-network-core-plugin      3.3.0
749126e841650447664e23152ec5c497 aws-opensearch-network-plugin           3.3.0
749126e841650447664e23152ec5c497 aws-opensearch-network-security-plugin  3.3.0
749126e841650447664e23152ec5c497 cache-ehcache                           3.3.0
749126e841650447664e23152ec5c497 crypto-kms                              3.3.0
749126e841650447664e23152ec5c497 discovery-ec2                           3.3.0
749126e841650447664e23152ec5c497 elasticsearch-aes-iam                   3.3.0
749126e841650447664e23152ec5c497 elasticsearch-aes-remote-reindex        3.3.0
749126e841650447664e23152ec5c497 ingest-attachment                       3.3.0
749126e841650447664e23152ec5c497 kraken                                  unspecified
749126e841650447664e23152ec5c497 kraken-index-management-extension       x.x.x.x
749126e841650447664e23152ec5c497 mapper-murmur3                          3.3.0
749126e841650447664e23152ec5c497 mapper-size                             3.3.0
749126e841650447664e23152ec5c497 opensearch-alerting                     x.x.x.x
749126e841650447664e23152ec5c497 opensearch-analysis-vietnamese          3.3.0
749126e841650447664e23152ec5c497 opensearch-anomaly-detection            x.x.x.x
749126e841650447664e23152ec5c497 opensearch-asynchronous-search          x.x.x.x
749126e841650447664e23152ec5c497 opensearch-cross-cluster                3.3.0
749126e841650447664e23152ec5c497 opensearch-cross-cluster-replication    x.x.x.x
749126e841650447664e23152ec5c497 opensearch-custom-codecs                x.x.x.x
749126e841650447664e23152ec5c497 opensearch-flow-framework               x.x.x.x
749126e841650447664e23152ec5c497 opensearch-geospatial                   x.x.x.x
749126e841650447664e23152ec5c497 opensearch-index-management             x.x.x.x
749126e841650447664e23152ec5c497 opensearch-job-scheduler                x.x.x.x
749126e841650447664e23152ec5c497 opensearch-knn                          x.x.x.x
749126e841650447664e23152ec5c497 opensearch-ltr                          x.x.x.x-SNAPSHOT
749126e841650447664e23152ec5c497 opensearch-ml                           x.x.x.x
749126e841650447664e23152ec5c497 opensearch-neural-search                x.x.x.x
749126e841650447664e23152ec5c497 opensearch-notifications                x.x.x.x
749126e841650447664e23152ec5c497 opensearch-notifications-core           x.x.x.x
749126e841650447664e23152ec5c497 opensearch-observability                x.x.x.x
749126e841650447664e23152ec5c497 opensearch-reports-scheduler            x.x.x.x
749126e841650447664e23152ec5c497 opensearch-search-relevance             x.x.x.x
749126e841650447664e23152ec5c497 opensearch-security                     x.x.x.x
749126e841650447664e23152ec5c497 opensearch-security-analytics           x.x.x.x
749126e841650447664e23152ec5c497 opensearch-skills                       x.x.x.x
749126e841650447664e23152ec5c497 opensearch-sql                          x.x.x.x
749126e841650447664e23152ec5c497 opensearch-system-templates             x.x.x.x
749126e841650447664e23152ec5c497 performance-analyzer                    x.x.x.x
749126e841650447664e23152ec5c497 query-insights                          x.x.x.x
749126e841650447664e23152ec5c497 repository-s3                           3.3.0
749126e841650447664e23152ec5c497 sifi-remediation-plugin                 x.x.x.x
749126e841650447664e23152ec5c497 telemetry-otel                          3.3.0
749126e841650447664e23152ec5c497 workload-management                     3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 analysis-icu                            3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 analysis-ik                             3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 analysis-kuromoji                       3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 analysis-phonetic                       3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 analysis-seunjeon                       3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 analysis-smartcn                        3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 analysis-stempel                        3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 analysis-thaichub2                      3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 analysis-ukrainian                      3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 arrow-flight-rpc                        3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 aws-opensearch-admission-control-plugin 3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 aws-opensearch-coral-network-plugin     3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 aws-opensearch-network-core-plugin      3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 aws-opensearch-network-plugin           3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 aws-opensearch-network-security-plugin  3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 cache-ehcache                           3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 crypto-kms                              3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 discovery-ec2                           3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 elasticsearch-aes-iam                   3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 elasticsearch-aes-remote-reindex        3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 ingest-attachment                       3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 kraken                                  unspecified
dce2e78e887cf0706ae70b3a35f6ce99 kraken-index-management-extension       x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 mapper-murmur3                          3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 mapper-size                             3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-alerting                     x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-analysis-vietnamese          3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-anomaly-detection            x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-asynchronous-search          x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-cross-cluster                3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-cross-cluster-replication    x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-custom-codecs                x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-flow-framework               x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-geospatial                   x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-index-management             x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-job-scheduler                x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-knn                          x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-ltr                          x.x.x.x-SNAPSHOT
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-ml                           x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-neural-search                x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-notifications                x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-notifications-core           x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-observability                x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-reports-scheduler            x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-search-relevance             x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-security                     x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-security-analytics           x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-skills                       x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-sql                          x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 opensearch-system-templates             x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 performance-analyzer                    x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 query-insights                          x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 repository-s3                           3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 sifi-remediation-plugin                 x.x.x.x
dce2e78e887cf0706ae70b3a35f6ce99 telemetry-otel                          3.3.0
dce2e78e887cf0706ae70b3a35f6ce99 workload-management                     3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 analysis-icu                            3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 analysis-ik                             3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 analysis-kuromoji                       3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 analysis-phonetic                       3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 analysis-seunjeon                       3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 analysis-smartcn                        3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 analysis-stempel                        3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 analysis-thaichub2                      3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 analysis-ukrainian                      3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 arrow-flight-rpc                        3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 aws-opensearch-admission-control-plugin 3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 aws-opensearch-coral-network-plugin     3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 aws-opensearch-network-core-plugin      3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 aws-opensearch-network-plugin           3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 aws-opensearch-network-security-plugin  3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 cache-ehcache                           3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 crypto-kms                              3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 discovery-ec2                           3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 elasticsearch-aes-iam                   3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 elasticsearch-aes-remote-reindex        3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 ingest-attachment                       3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 kraken                                  unspecified
f64ece85e95faf5acb8327c63d4d1ba9 kraken-index-management-extension       x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 mapper-murmur3                          3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 mapper-size                             3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-alerting                     x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-analysis-vietnamese          3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-anomaly-detection            x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-asynchronous-search          x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-cross-cluster                3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-cross-cluster-replication    x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-custom-codecs                x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-flow-framework               x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-geospatial                   x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-index-management             x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-job-scheduler                x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-knn                          x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-ltr                          x.x.x.x-SNAPSHOT
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-ml                           x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-neural-search                x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-notifications                x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-notifications-core           x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-observability                x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-reports-scheduler            x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-search-relevance             x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-security                     x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-security-analytics           x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-skills                       x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-sql                          x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 opensearch-system-templates             x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 performance-analyzer                    x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 query-insights                          x.x.x.x
f64ece85e95faf5acb8327c63d4d1ba9 repository-s3                           3.3.0
f64ece85e95faf5acb8327c63d4d1ba9 sifi-remediation-plugin                 x.x.x.x
